From,Subject,Body,X-FileName,IsPhishing 
FIFTH THIRD BANK 2006 <custsupport_888777998751014id@53.com>,"Important notice from Fifth Third Bank [Thu, 31 Aug 2006 21:07:16 -0700]",None,None,1
"""FIFTH THIRD bank, 2006"" <onlinesupport_id_107.cust@53.com>","Attention Fifth Third Bank Client [Sun, 3 Sep 2006 14:24:56 -0120]","{'acid': 1, 'adaptation': 1, 'adelia': 1, 'affluencecastle': 1, 'agave': 1, 'agrimony': 1, 'ak': 1, 'alteration': 1, 'ames': 1, 'amiss': 1, 'analstow': 1, 'anorthic': 1, 'anorthosite': 1, 'anticipatoryalcoholcrewel': 1, 'apex': 1, 'appellate': 1, 'appendix': 1, 'applicate': 1, 'archetype': 1, 'avarice': 1, 'aware': 1, 'awful': 1, 'balzac': 1, 'banjo': 1, 'baptiste': 1, 'barbudoswaydew': 1, 'bay': 1, 'bayportwoke': 1, 'beam': 1, 'beckaugur': 1, 'befog': 1, 'bellatrix': 1, 'bellhopknitplat': 1, 'bentham': 1, 'bernet': 1, 'bestcragran': 1, 'bibliography': 1, 'biletrekas': 1, 'bitt': 1, 'bivouac': 1, 'blab': 1, 'blackberryvill': 1, 'blackout': 1, 'blade': 1, 'blaine': 1, 'bloody': 1, 'blu': 1, 'blue': 1, 'bluff': 1, 'bookish': 1, 'borewhoahint': 1, 'botswana': 1, 'bourgeoisie': 1, 'brand': 1, 'bred': 1, 'bremen': 1, 'bribery': 1, 'bridgeable': 1, 'broad': 1, 'broadloom': 1, 'brookline': 1, 'buck': 1, 'bug': 1, 'bureaucratic': 1, 'burke': 1, 'burn': 1, 'butt': 2, 'byword': 1, 'cadenza': 1, 'cake': 1, 'cancelling': 1, 'carcinomaliny': 1, 'carson': 1, 'catfish': 1, 'cause': 1, 'censor': 1, 'centigrade': 1, 'certitude': 1, 'cessation': 1, 'chairperson': 1, 'chamomile': 1, 'chapter': 1, 'chariotwhy': 1, 'charlay': 1, 'charpah': 1, 'chop': 1, 'cinderveryhero': 1, 'clare': 1, 'claw': 1, 'clergy': 1, 'clink': 1, 'coccidiosis': 1, 'cockmewl': 1, 'cognac': 1, 'coincidental': 1, 'colonydale': 1, 'compile': 1, 'compliment': 1, 'conspiratorial': 1, 'coolidge': 1, 'coralberryhip': 1, 'corrigendaloin': 1, 'countryhaydip': 1, 'covary': 1, 'crux': 1, 'cuffre': 1, 'cuny': 1, 'cutout': 1, 'dadoskew': 1, 'dag': 1, 'deal': 1, 'debuggedmonk': 1, 'debussy': 1, 'deempea': 1, 'deforestation': 1, 'delusivecattail': 1, 'denfray': 1, 'denver': 1, 'deoxyribose': 1, 'desmond': 1, 'destructor': 1, 'deterred': 1, 'dewey': 1, 'dichondra': 1, 'differential': 1, 'dig': 1, 'diplomat': 1, 'doat': 1, 'dome': 1, 'downarmchair': 1, 'drab': 1, 'dub': 1, 'duet': 1, 'edge': 1, 'emu': 1, 'erin': 1, 'evil': 1, 'fane': 1, 'fate': 1, 'faun': 1, 'feel': 1, 'fell': 1, 'fern': 1, 'feud': 1, 'fib': 1, 'flax': 1, 'foe': 1, 'folk': 1, 'fowlturd': 1, 'gaud': 1, 'gent': 1, 'gin': 1, 'glutcolloquiumbur': 1, 'goal': 1, 'godunto': 1, 'gownperi': 1, 'grin': 1, 'gustmud': 1, 'halfpig': 1, 'hare': 1, 'hasp': 1, 'havehaze': 1, 'held': 1, 'helmmete': 1, 'hike': 1, 'hind': 1, 'hogdisruption': 1, 'im': 1, 'iota': 1, 'jarhodeve': 1, 'jibe': 1, 'jobmopecook': 1, 'join': 1, 'jumpdame': 1, 'justso': 1, 'keyboard': 1, 'khanre': 1, 'killneat': 1, 'kook': 1, 'late': 1, 'letrate': 1, 'loft': 1, 'low': 1, 'maccorrodible': 1, 'malt': 1, 'marado': 1, 'mass': 1, 'mast': 1, 'meg': 1, 'mere': 1, 'mewlrash': 1, 'middle': 1, 'mild': 1, 'mildyerk': 1, 'miss': 1, 'mist': 1, 'mock': 1, 'mopmull': 1, 'mopyfat': 1, 'mora': 1, 'mull': 1, 'ohm': 1, 'orbwith': 1, 'pawn': 1, 'pay': 1, 'peon': 1, 'pile': 2, 'pipe': 1, 'plot': 1, 'poemcontent': 1, 'poetave': 1, 'pollhunch': 1, 'puleamok': 1, 'rack': 1, 'rail': 1, 'ramp': 1, 'read': 1, 'red': 1, 'reelmash': 1, 'rip': 1, 'roam': 1, 'roof': 1, 'routpad': 1, 'sake': 1, 'sap': 1, 'shot': 1, 'silkbang': 1, 'sissy': 1, 'size': 1, 'slidi': 1, 'slip': 1, 'sod': 1, 'sole': 1, 'son': 1, 'soon': 1, 'sue': 1, 'sunk': 1, 'surfmag': 1, 'tact': 1, 'tail': 1, 'takeidle': 1, 'team': 1, 'tell': 1, 'thro': 1, 'thudstub': 1, 'tidy': 1, 'tit': 1, 'tollunitbad': 1, 'tore': 1, 'tote': 1, 'tram': 1, 'triplest': 1, 'tut': 1, 'ursa': 1, 'valour': 1, 'valouricy': 1, 'velap': 1, 'venddozy': 1, 'vicinityacme': 1, 'villbill': 1, 'viol': 1, 'wady': 1, 'wage': 2, 'war': 1, 'wed': 1, 'weet': 2, 'whim': 1, 'wilt': 1, 'wisp': 1, 'yah': 1, 'yard': 1, 'ye': 2, 'yok': 1, 'yoyo': 1, 'zing': 1, 'zip': 2}",None,1
Fifth Third Bank <operate_ref0914355143.cust@53.com>,"Fifth Third Bank: special announce [Thu, 7 Sep 2006 11:25:14 -0540]","{'aaron': 1, 'ablyspry': 1, 'absolute': 1, 'accomplice': 1, 'accountant': 1, 'acre': 1, 'act': 1, 'adrift': 1, 'aft': 1, 'againstcloud': 1, 'aid': 1, 'air': 1, 'album': 1, 'allen': 1, 'alpha': 1, 'altruism': 1, 'amadeus': 1, 'amenperk': 1, 'anomie': 1, 'apothegm': 1, 'apprehend': 1, 'aquacoffeecup': 1, 'archaismmakemar': 1, 'aries': 1, 'arm': 1, 'armistice': 1, 'arosebit': 1, 'aspirin': 1, 'attributivebilletauditorium': 1, 'auberge': 1, 'avowbis': 1, 'awl': 1, 'backpack': 1, 'backwood': 1, 'bait': 1, 'bakery': 1, 'baku': 1, 'bale': 1, 'bananasnice': 1, 'barbital': 1, 'barn': 1, 'barony': 1, 'bat': 1, 'bath': 1, 'bay': 1, 'becket': 1, 'beetleculpa': 1, 'bergdelude': 1, 'bestubble': 1, 'betelgeusegaud': 1, 'bicycle': 1, 'bile': 1, 'bludgeon': 1, 'blutwurst': 1, 'boa': 1, 'boar': 1, 'bodicegagamat': 1, 'boldwatedgy': 1, 'bolt': 1, 'bond': 1, 'boob': 1, 'border': 1, 'born': 1, 'bow': 1, 'boycottyowl': 1, 'brace': 1, 'brazierbone': 1, 'brisbane': 1, 'brookline': 1, 'brow': 1, 'bruce': 1, 'buck': 1, 'bugcaw': 1, 'bulldozeplus': 1, 'bur': 1, 'burl': 1, 'burn': 1, 'burr': 1, 'bus': 1, 'byzantium': 1, 'caddy': 1, 'californium': 1, 'calleraver': 1, 'camilla': 1, 'cancod': 1, 'candle': 1, 'canny': 1, 'cantilevermink': 1, 'cantonese': 1, 'capedrub': 1, 'capistrano': 1, 'cavalier': 1, 'centum': 1, 'chambers': 1, 'chamfer': 1, 'chandlerripeweld': 1, 'channel': 1, 'chapin': 1, 'chaw': 1, 'chestertonveer': 1, 'chromatography': 1, 'chrysanthemum': 1, 'chuff': 1, 'clout': 1, 'club': 1, 'coach': 1, 'cognizant': 1, 'colloquia': 1, 'confirm': 1, 'conkoutwalk': 1, 'conspire': 1, 'consular': 1, 'continua': 1, 'contractor': 1, 'cookie': 1, 'cookrock': 1, 'cordclubday': 1, 'core': 1, 'corn': 1, 'corvallis': 1, 'count': 1, 'cove': 1, 'crevice': 1, 'crinkle': 1, 'cryptic': 1, 'crystallographer': 1, 'cubeliny': 1, 'culprit': 1, 'curricular': 1, 'cutedole': 1, 'dado': 1, 'dahomey': 1, 'dark': 1, 'dartmouth': 1, 'decimate': 1, 'delirious': 1, 'demiscible': 1, 'demurring': 1, 'dentnon': 1, 'descartes': 1, 'dialect': 1, 'diannefurywet': 1, 'ditto': 1, 'divisible': 1, 'documentation': 1, 'drag': 1, 'dusk': 1, 'duty': 1, 'dye': 1, 'earn': 1, 'ewerspa': 1, 'ex': 1, 'fig': 1, 'fix': 1, 'flagvow': 1, 'flam': 1, 'flaw': 1, 'flex': 1, 'flim': 1, 'flux': 1, 'foal': 1, 'gag': 1, 'gainmag': 1, 'gay': 1, 'girlrotecub': 1, 'goadnick': 1, 'golf': 1, 'gothwady': 1, 'grew': 1, 'hareclappipe': 1, 'hay': 1, 'haze': 1, 'hoofblanketseed': 1, 'hoot': 1, 'hymn': 1, 'inch': 2, 'iris': 1, 'jackbagging': 1, 'jeer': 1, 'jinn': 1, 'jugdesk': 1, 'julylip': 1, 'keel': 1, 'kiss': 1, 'lassclay': 1, 'lath': 1, 'lax': 1, 'leaf': 1, 'lido': 1, 'lockup': 1, 'lug': 1, 'lullfor': 1, 'male': 1, 'meat': 1, 'meek': 1, 'mews': 1, 'mineraw': 1, 'minxblur': 1, 'mix': 1, 'modegyp': 1, 'mom': 1, 'mopy': 1, 'mud': 1, 'muff': 1, 'mug': 1, 'muse': 1, 'mute': 1, 'nay': 1, 'note': 1, 'nutgall': 1, 'ogle': 1, 'oily': 1, 'old': 1, 'ox': 1, 'palm': 1, 'pang': 1, 'pay': 1, 'pinerain': 1, 'pip': 1, 'pixy': 1, 'plow': 2, 'pockyen': 1, 'porthulk': 1, 'pramsham': 1, 'propgavepane': 1, 'pull': 1, 'pump': 1, 'rely': 1, 'rent': 1, 'renthaw': 1, 'rime': 1, 'riseaudible': 1, 'roam': 1, 'ropy': 1, 'rueyon': 1, 'ruse': 1, 'sat': 1, 'seat': 1, 'shin': 1, 'siloana': 1, 'slewnip': 1, 'snappy': 1, 'soar': 1, 'spanflaw': 1, 'spunkycaptive': 1, 'stand': 1, 'stew': 1, 'suds': 1, 'sulk': 1, 'swim': 1, 'tailtart': 1, 'tak': 1, 'tearcoldnub': 1, 'ted': 1, 'tend': 1, 'tide': 1, 'tier': 1, 'tincod': 1, 'tip': 1, 'twig': 1, 'user': 1, 'veal': 1, 'voteglenjig': 1, 'waft': 1, 'war': 1, 'weal': 1, 'wee': 1, 'whatkine': 1, 'wilt': 1, 'wooffig': 1, 'yerk': 1, 'yerktor': 1, 'yondcanister': 1, 'yoot': 1, 'zendpicnic': 1, 'zex': 1}",None,1
"""FIFTH THIRD BANK, 2006"" <customerssupport_40191897id@53.com>",Important notice from Fifth Third Bank,None,None,1
Fifth Third Bank 2006 <reference_id_57126451.cust@53.com>,Important Account Notification,"{'acidware': 1, 'acquire': 1, 'adit': 1, 'aerobacter': 1, 'affableclegdint': 1, 'afford': 1, 'agnesidly': 1, 'alan': 1, 'algebraic': 1, 'alyssum': 1, 'americanism': 1, 'ami': 1, 'andiron': 1, 'antipathy': 1, 'aries': 1, 'aryl': 1, 'asteroidalloam': 1, 'audible': 1, 'auerbach': 1, 'aurapare': 1, 'average': 1, 'aviatrix': 2, 'await': 1, 'awaken': 1, 'axis': 1, 'ayehag': 1, 'babysit': 1, 'bacteria': 1, 'bad': 1, 'bakecleg': 1, 'bald': 1, 'bale': 1, 'balm': 1, 'bankgib': 1, 'barcelona': 1, 'baseboard': 1, 'basepoint': 1, 'bass': 1, 'bear': 1, 'beard': 1, 'beatenlurkbob': 1, 'beauteous': 1, 'becitric': 1, 'beer': 1, 'befogging': 1, 'bequest': 1, 'bestubble': 1, 'bette': 1, 'bevyyouclay': 1, 'bid': 1, 'blackwell': 1, 'blast': 1, 'bled': 1, 'bloodstain': 1, 'bogy': 1, 'boogie': 1, 'book': 1, 'boss': 1, 'bourn': 1, 'boustrophedon': 1, 'bowieseek': 1, 'breakwater': 1, 'breath': 1, 'brontosaurus': 1, 'bucksofagame': 1, 'bulldog': 1, 'bundestag': 1, 'bunk': 1, 'burnett': 1, 'burnt': 1, 'busy': 2, 'butt': 1, 'cacophonist': 1, 'cafeohm': 1, 'calendar': 1, 'canoe': 1, 'cape': 1, 'capistrano': 1, 'caputo': 1, 'cataclysmic': 1, 'catfish': 1, 'cathy': 1, 'cf': 1, 'chamber': 1, 'chunkygolf': 1, 'clothesmanbushmaster': 1, 'coauthor': 1, 'cobb': 1, 'cod': 1, 'coliform': 1, 'colonnade': 1, 'colony': 1, 'commonweal': 1, 'completecorn': 1, 'confederacyslipup': 1, 'contort': 1, 'controversy': 1, 'coordinatehob': 1, 'corkscrew': 1, 'cowbird': 1, 'craborca': 1, 'cricket': 1, 'crossbar': 1, 'cultivatedeliverybolshoi': 1, 'curt': 1, 'custodian': 1, 'dale': 2, 'darn': 1, 'dater': 1, 'daunt': 2, 'dealon': 1, 'debauchery': 1, 'decant': 1, 'decreeletower': 1, 'democrat': 1, 'demur': 1, 'desist': 1, 'devious': 1, 'dewdropdock': 1, 'diagnosis': 1, 'diagnosticclearheaded': 1, 'diane': 1, 'dis': 1, 'disdain': 1, 'dispersible': 1, 'dopoutcumin': 1, 'drab': 2, 'drumbob': 1, 'edit': 1, 'erepick': 1, 'fact': 1, 'fallzoea': 1, 'feet': 1, 'flu': 1, 'fond': 1, 'fort': 1, 'gait': 1, 'gall': 1, 'game': 1, 'gamp': 1, 'gaul': 1, 'goal': 1, 'grey': 1, 'hack': 1, 'hobocowslim': 1, 'hostdilemma': 1, 'huge': 1, 'hump': 1, 'hymn': 1, 'idea': 1, 'ideapack': 1, 'inch': 1, 'item': 1, 'jaw': 1, 'job': 1, 'johnny': 1, 'judo': 1, 'kart': 1, 'kilotint': 1, 'kist': 1, 'kit': 1, 'kook': 1, 'lath': 1, 'lazysnub': 1, 'letlark': 1, 'lice': 1, 'lidliny': 1, 'limenosy': 1, 'limp': 1, 'link': 2, 'long': 1, 'low': 1, 'lug': 1, 'map': 1, 'maul': 1, 'maymuch': 1, 'meldtrig': 1, 'merenipbean': 1, 'mess': 1, 'middle': 1, 'mis': 1, 'mittcaky': 1, 'mole': 1, 'moltcapstoneteak': 1, 'mora': 1, 'mull': 1, 'nab': 1, 'navyfirm': 1, 'nose': 1, 'nye': 1, 'oboenun': 1, 'oh': 1, 'ohm': 1, 'oxen': 1, 'pacejinx': 1, 'pale': 1, 'palm': 1, 'pane': 1, 'pap': 1, 'pastcommensurate': 1, 'peal': 1, 'pert': 1, 'pile': 1, 'pip': 1, 'pipe': 1, 'plea': 1, 'pole': 1, 'ponytermnews': 1, 'pottondonwind': 1, 'pourjohn': 1, 'pro': 1, 'pump': 1, 'punt': 1, 'puny': 1, 'raft': 1, 'ragbellhop': 1, 'reef': 1, 'restsofa': 1, 'rimywhey': 1, 'roan': 1, 'rompcame': 1, 'root': 1, 'rot': 1, 'rudebarren': 1, 'run': 1, 'saga': 1, 'sailomen': 1, 'shod': 1, 'sitpile': 1, 'ski': 1, 'slag': 1, 'snugmoth': 1, 'soap': 1, 'sod': 1, 'spat': 1, 'spry': 1, 'tack': 1, 'tactdixy': 1, 'thankswind': 1, 'tit': 1, 'toll': 1, 'tossup': 1, 'tossupcrab': 1, 'tow': 1, 'towsold': 1, 'trace': 1, 'tret': 1, 'tun': 1, 'tunapale': 1, 'tunapull': 1, 'twig': 1, 'twign': 1, 'upaslead': 1, 'utu': 1, 'van': 1, 'velt': 1, 'voleyoho': 1, 'wame': 1, 'warndo': 1, 'weld': 1, 'withvild': 1, 'xx': 1, 'yawn': 1, 'yew': 1, 'yogi': 1, 'yoot': 1, 'yoredug': 1, 'york': 1, 'youth': 1}",None,1
Fifth Third Bank 2006 <support-reference94706362514993id@53.com>,"Fifth Third Bank Email - [user@example.com] - Verification Mon, 18 Sep 2006 07:24:39 -0500",None,None,1
FIFTH THIRD BANK 2006 <operator_443137581015id@53.com>,Important account notice from Fifth Third Bank,None,None,1
SunTrust Bank'06 <onlinesupport_id-178350827569id@suntrust.com>,"Urgent Security Notice [Wed, 11 Oct 2006 09:20:04 -0100]",None,None,1
KEYBank <custsupport_7729087377id@key.com>,KeyBank Reminder: Please Update Your Data,None,None,1
Fifth Third Bank'06 <custsupport_13312@53.com>,Fifth Third Bank: Account Investigation Warning,None,None,1
Fifth Third Bank'06 <support_reference8137@53.com>,Important Banking MaiI,None,None,1
"Fifth@example.com, Third@example.com, Bank@example.com, 2006 <support_reference7178123@53.com>","Fifth Third Bank: Service Message 1 November, 2006",None,None,1
PayPal <services@ipaypal.com>,Critical Information Regarding Your Account,None,None,1
AmSouth bank <customercare-029023ams@amsouth.com>,"AmSouth Bank - Please VaIidate Your Account [Sat, 11 Nov 2006 02:48:13 -0300]",None,None,1
Fifth Third Bank <refnumber-56798308600ver@security.53.com>,Important information!,None,None,1
Fifth Third Bank <service_189620901062ver@security.53.com>,"Attention - all Fifth Third Bank clients [Sun, 19 Nov 2006 00:33:50 -0800]",None,None,1
Fifth Third Bank <refnumber-num3830915ver@security.53.com>,"Please Update Your Details. -Sun, 19 Nov 2006 15:56:53 -0800",None,None,1
Fifth Third Bank <service-id8377552930784ver@security.53.com>,Important notice from Fifth Third Bank,None,None,1
Fifth Third Bank <53investigation-id272059530ver@security.53.com>,"important banking mail! -Tue, 21 Nov 2006 13:21:14 -0800",None,None,1
Fifth Third Bank 2006 <custsupport-77562@53.com>,Fifth Third Bank: confirm your information,None,None,1
Fifth Third Bank <service-id73422ver@security.53.com>,"Important notification from Fifth Third Bank! -Wed, 22 Nov 2006 18:43:34 -0800",None,None,1
Fifth Third Bank <customerservice0903164716894ver@security.53.com>,"Fifth Third Bank: Account Secure Confirmation. [Fri, 24 Nov 2006 12:51:25 -0800]",None,None,1
Fifth Third Bank <operator_1893892727680ver@security.53.com>,"Fifth Third Bank account secure confirmation procedure. -Thu, 23 Nov 2006 17:40:05 -0800",None,None,1
Fifth Third Bank <reference-num310575202414334ver@security.53.com>,Fifth Third Bank - important confirmation procedure,None,None,1
eBay <member@ebay.com>,Question from eBay member -- Respond Now,None,None,1
"Fifth@example.com, Third@example.com, Bank@example.com, 2006 <custservice_ref_77562@53.com>",Fifth Third Bank - alert,None,None,1
custsupport-78123@53.com,private message from Fifth Third Bank!,None,None,1
Fifth Third Bank 2006 <operator-13312@53.com>,Fifth Third Bank: account confirmation procedure.,None,None,1
"Fifth@example.com, Third@example.com, Bank@example.com, 2006 <operator-8137@53.com>",Fifth Third Bank: your account.,None,None,1
Fifth Third Bank <reference9548472433ver@security.53.com>,"Fifth Third Bank Reminder: Mail From Fifth Third Bank. -Wed, 29 Nov 2006 10:47:58 -0800",None,None,1
Fifth Third Bank <customerservice-num84544446ver@security.53.com>,"Fifth Third Bank: special announce. [Thu, 30 Nov 2006 10:24:11 -0800]",None,None,1
Fifth Third Bank <support_id4286135244594ver@security.53.com>,"Fifth Third Bank - Confirm Your Identity -Mon, 04 Dec 2006 13:30:00 -0800",None,None,1
Fifth Third Bank <services-id93479ver@security.53.com>,E-Banking Account Confirmation Procedure!,None,None,1
Fifth Third Bank <service-6498005957862ver@security.53.com>,"Fifth Third Bank - Security Update, Please Read! [Mon, 11 Dec 2006 05:20:02 -0500]",None,None,1
Fifth Third Bank <customerservice-id427900432ver@security.53.com>,"Fifth Third Bank - confirmation procedure. [Tue, 12 Dec 2006 19:21:47 -0000]",None,None,1
Fifth Third Bank <customerservice_373613962615960ver@security.53.com>,"Your Fifth Third Bank account [Thu, 14 Dec 2006 15:28:50 -0500]",None,None,1
Fifth Third Bank <clientservice_08397077762ver@security.53.com>,"Fifth Third Bank - important information [Sat, 16 Dec 2006 18:20:49 -0000]",None,None,1
Fifth Third Bank <investigation-num8034530243420ver@security.53.com>,"Fifth Third Bank - please confirm your information! -Sun, 17 Dec 2006 15:46:53 -0800",None,None,1
Ohio Savings <security@ohiosavingsbank.com>,Security Measures,None,None,1
Fifth Third Bank <support_id8779514ver@security.53.com>,Fifth Third Bank - client's details confirmation,None,None,1
"""aw-confirm@ebay.com"" <aw-confirm@ebay.com>",Question From eBay Member Helen31 on item:6436472319  ,None,None,1
Volksbanken Raiffeisenbanken <kunde-num056317231674vr@volksbank.de>,"Volksbanken Raiffeisenbanken: Wichtige Information -Wed, 20 Dec 2006 11:08:09 -0500",None,None,1
Fifth Third Bank <online-72264ver@security.53.com>,"Fifth Third Bank: please confirm your information. -Fri, 29 Dec 2006 03:30:03 -0500",None,None,1
Fifth Third Bank <refid_0944320200ver@security.53.com>,Please confirm your banking details!,None,None,1
Fifth Third Bank <customers-id93847475ver@security.53.com>,"Fifth Third Bank Reminder: Mail From Fifth Third Bank! [Fri, 22 Dec 2006 15:47:09 -0800]",None,None,1
Bank of America <reference_id3678317080ib@bankofamerica.com>,"Important notice. -Tue, 02 Jan 2007 09:44:30 -0800",None,None,1
Fifth Third Bank <online-8896463641034ib@53.com>,Fifth Third Bank - urgent notification,None,None,1
Fifth Third Bank <support-num57024483965ib@53.com>,"Fifth Third Bank: urgent notification from Protection Department! -Fri, 05 Jan 2007 17:34:21 -0500",None,None,1
Bank of America <bofainvestigation-id844375263ib@bankofamerica.com>,"Bank of America: Special Announce! -Fri, 05 Jan 2007 21:32:12 -0800",None,None,1
Fifth Third Bank <infonum-27411@53.com>,banking mail from Fifth Third Bank.,None,None,1
Fifth Third Bank <service_id40427944581ver@security.53.com>,"account notification! [Thu, 11 Jan 2007 15:24:38 -0800]",None,None,1
Citibank <online_id56789040376238ct@citi.com>,Private urgent message from Citibank,None,None,1
Fifth Third Bank <accounts-num5051587386ver@security.53.com>,"Fifth Third Bank strongly recommends -Tue, 16 Jan 2007 09:19:26 -0500",None,None,1
Bank of America <services_517558234796ib@bankofamerica.com>,"customer notification: data confirmation. [Wed, 17 Jan 2007 11:33:13 -0800]",None,None,1
Fifth Third Bank <referencenumber7279441ver@security.53.com>,"Customer Notice: Details Confirmation [Thu, 18 Jan 2007 17:26:31 -0800]",None,None,1
Fifth Third Bank <accounts-num425184ver@security.53.com>,Urgent Security Notification!,None,None,1
Bank of America <services-id10311ib@bankofamerica.com>,"Bank of America - official update. -Tue, 23 Jan 2007 05:24:16 -0800",None,None,1
Fifth Third Bank <clientservice-id14863ver@security.53.com>,Fifth Third Bank: Notification,None,None,1
Fifth Third Bank <support-id797889205ib@53.com>,"Fifth Third Bank: urgent security notification -Tue, 23 Jan 2007 20:35:31 -0800",None,None,1
E*trade <customersupport_5232343fx@etrade.com>,"E*TRADE Financial: urgent security notification Thu, 25 Jan 2007 00:00:57 -0100",None,None,1
Fifth Third Bank <services72807ib@53.com>,notice: confirm your online banking records!,None,None,1
Bank of America <online64820141765480ib@bankofamerica.com>,notification!,None,None,1
Fifth Third Bank <services-id100148081168694ver@security.53.com>,"Fifth Third Bank: please confirm your details [Sat, 27 Jan 2007 05:51:11 -0500]",None,None,1
Bank of America <operator_93131ib@bankofamerica.com>,Bank of America Account Confirmation Procedure.,None,None,1
Bank of America <manager_id5017585ib@bankofamerica.com>,Bank of America - account notification!,None,None,1
Bank of America <manager_id5017585ib@bankofamerica.com>,Bank of America - account notification!,None,None,1
Fifth Third Bank <refnumber-num801672ver@security.53.com>,"0fficial Information For Client Of Fifth Third Bank -Sun, 28 Jan 2007 18:03:45 -0800",None,None,1
Fifth Third Bank <manager_id379105303ib@53.com>,Fifth Third Bank - service message!,None,None,1
Bank of America <online-1518486240ib@bankofamerica.com>,"Bank of America - account notification. [Tue, 30 Jan 2007 13:59:51 -0800]",None,None,1
Fifth Third Bank <clientservice-8958618607ver@security.53.com>,"Fifth Third Bank Account Secure Confirmation Procedure -Wed, 31 Jan 2007 23:24:38 -0800",None,None,1
Branch Banking and Trust <clientservice_id111646ib@bbt.com>,"BB&T reminder: please update your details. -Fri, 02 Feb 2007 13:30:57 -0800",None,None,1
Fifth Third Bank <online-num10519627ver@security.53.com>,"Fifth Third Bank reminder: please update your details. -Fri, 02 Feb 2007 20:27:21 -0500",None,None,1
Fifth Third Bank <service_id81942003452ib@53.com>,"Client's Details Confirmation! [Sun, 04 Feb 2007 16:54:57 -0800]",None,None,1
Fifth Third Bank <clientservice-num0902250338071ver@security.53.com>,"Notification [Mon, 05 Feb 2007 12:21:35 -0800]",None,None,1
Fifth Third Bank <accounts-890134ver@security.53.com>,"Fifth Third Bank: Special Announce! -Wed, 07 Feb 2007 02:14:02 -0800",None,None,1
Fifth Third Bank <customerservice-id7313193938795ver@security.53.com>,"Fifth Third Bank: customer alert. -Fri, 09 Feb 2007 12:18:43 -0800",None,None,1
Fifth Third Bank <operate-ref81834@53.com>,Fifth Third Bank - confirmation procedure,None,None,1
Fifth Third Bank <customerservice_3761100807705ver@security.53.com>,"Fifth Third Bank: urgent security notification. [Sat, 10 Feb 2007 14:15:25 -0800]",None,None,1
Fifth Third Bank <customers-0341930ib@53.com>,Fifth Third Bank: Important Confirmation Procedure.,None,None,1
Fifth Third Bank <referencenumber-id05125ib@53.com>,Fifth Third Bank: urgent security notification for all clients!,None,None,1
Fifth Third Bank <reference891477ib@53.com>,"Fifth Third Bank - security update, please read!",None,None,1
Fifth Third Bank <reference_id6047463ib@53.com>,"Cofirm Your Details With Fifth Third Bank [Sat, 17 Feb 2007 09:58:31 -0500]",None,None,1
Fifth Third Bank <53investigation_673998ver@security.53.com>,Fifth Third Bank - security notice!,None,None,1
Fifth Third Bank <reference_95856ver@security.53.com>,"Fifth Third Bank: Confirm Your Online Account Details. -Fri, 23 Feb 2007 02:06:47 -0800",None,None,1
Fifth Third Bank <supprefnum27411@53.com>,Fifth Third Bank - secure confirmation,None,None,1
Fifth Third Bank <customers_id372257133311440ib@53.com>,Fifth Third Bank: please confirm your information.,None,None,1
Wells Fargo <security@wellsfargo.com>,IMPORTANT : Security Measures Notification of Limited Account Access,None,None,1
Paypal department <orders@dell.com>,Confirms that you have paid for this product,None,None,1
PayPal <admin@paypal.com>,Profile Update PayPal Inc. !,None,None,1
Fifth Third Bank <online-833540ib@53.com>,Important announce!,None,None,1
Branch Banking and Trust <bbtinvestigation_id7755157ib@bbt.com>,"security maintenance! [Fri, 02 Mar 2007 21:51:30 -0500]",None,None,1
PayPal <admin@paypal.com>,Profile Update PayPal Inc. !,None,None,1
Branch Banking and Trust <investigation-num003299ib@bbt.com>,"BB&T - confirm your online account details. -Mon, 05 Mar 2007 09:00:57 -0500",None,None,1
Branch Banking and Trust <bbtinvestigation-id747114ib@bbt.com>,your account in BB&T.,None,None,1
service@moneybookers.com,MoneyBookers.com:Money Received New Update',None,None,1
Branch Banking and Trust <refnumber_177370ib@bbt.com>,"BB&T - Client's Details Confirmation [Tue, 06 Mar 2007 20:50:19 -0500]",None,None,1
BB&T <manager-358859ib@bbt.com>,"BB&T: security update -Thu, 08 Mar 2007 23:43:32 -0500",None,None,1
BB&T <operator-id652970ib@bbt.com>,Account Notification!,None,None,1
